,a,fold,logL,log_a,sd,log_sd
0,inf,0,-5799.528279260065,inf,0.0,-inf
1,0.0,0,-inf,-inf,inf,inf
2,21.233663999999997,0,-10026.924342397,1.3270249408303112,1000.0000000000001,3.0
3,38.92089653229709,0,-9404.293678525015,1.5901828355671532,738.6199822079362,2.868421052631579
4,71.3412525920056,0,-9013.113962786123,1.8533407303039953,545.559478116852,2.736842105263158
5,130.7671398877709,0,-8601.810399869908,2.1164986250408377,402.96113202004005,2.6052631578947367
6,239.69364502501062,0,-8161.299970192877,2.3796565197776793,297.63514416313194,2.473684210526316
7,439.3538278399619,0,-7754.508777389967,2.642814414514522,219.83926488622893,2.3421052631578947
8,805.327091661045,0,-7322.406594527347,2.905972309251364,162.3776739188722,2.210526315789474
9,1476.1490249254803,0,-6920.80755857298,3.169130203988206,119.93539462092343,2.0789473684210527
10,2705.7526890025133,0,-6527.550633913363,3.432288098725048,88.58667904100828,1.9473684210526316
11,4959.592487224601,0,-6161.674205262849,3.69544599346189,65.4318912971297,1.8157894736842106
12,9090.837362672157,0,-5833.614307613212,3.958603888198732,48.329302385717554,1.6842105263157896
13,16663.329531092877,0,-5576.636433993424,4.221761782935574,35.69698846826066,1.5526315789473686
14,30543.561608737768,0,-5431.826404135121,4.4849196776724165,26.366508987303583,1.4210526315789473
15,55985.75926893838,0,-5395.418494941045,4.748077572409258,19.474830399087573,1.2894736842105265
16,102620.81682127241,0,-5432.009811662379,5.011235467146101,14.384498882876631,1.1578947368421053
17,188101.97776326127,0,-5509.265335524566,5.274393361882943,10.62467830894041,1.026315789473684
18,344787.29690948926,0,-5597.517634024802,5.537551256619785,7.847599703514615,0.8947368421052633
19,631988.4645751503,0,-5673.021009811093,5.800709151356627,5.7963939533849675,0.763157894736842
20,1158422.6650348573,0,-5725.374992230036,6.063867046093469,4.281332398719396,0.6315789473684212
21,2123366.4,0,-5757.555302810479,6.327024940830311,3.1622776601683795,0.5
22,inf,0,-5799.53064551486,inf,0.0,-inf
23,inf,1,-5737.867612061762,inf,0.0,-inf
24,0.0,1,-inf,-inf,inf,inf
25,21.233663999999997,1,-9689.782474254229,1.3270249408303112,1000.0000000000001,3.0
